,cuenta,c_nombre,nivel,nsumasal
0,100000000000,ACTIVO                             ,1,442502067.42
1,110000000000,Activo Corriente                   ,2,362977794.0
2,111000000000,Disponibilidades                   ,3,63204703.72
3,111010000000,Caja                               ,4,31117.38
4,111020000000,Fondo fijo                         ,4,25072.5
5,111030000000,Moneda Extranjera                  ,4,0.0
6,111040000000,Bancos                             ,4,-2145264.11
7,111040100000,Banco Pcia                         ,5,0.0
8,111040101000,Banco Pcia Cta Cte                 ,6,0.0
9,111040102000,Banco Pcia Caja de Ahorro          ,6,0.0
10,111040103000,Banco Pcia Cta Cte - Patacones A   ,6,0.0
11,111040104000,Banco Pcia Cta Cte - Patacones B   ,6,0.0
12,111040200000,Banco Nación                       ,5,0.0
13,111040201000,Banco Nación Cta Cte               ,6,0.0
14,111040202000,Banco Nación Caja de Ahorro        ,6,0.0
15,111040300000,Banco Galicia                      ,5,-2145264.11
16,111040301000,Banco Galicia Cta Cte              ,6,-2145264.11
17,111040302000,Banco Galicia Caja de Ahorro       ,6,0.0
18,111040303000,Banco Galicia Cte. Cte. Esp. U$S   ,6,0.0
19,111040400000,Banco Lloyds                       ,5,0.0
20,111040401000,Banco Lloyds Cta Cte               ,6,0.0
21,111050000000,Valores a Depositar                ,4,11293777.95
22,111060000000,Plazo Fijo                         ,4,54000000.0
23,111070000000,Intereses y Cer Devengados         ,4,0.0
24,112000000000,Inversiones                        ,3,30658637.53
25,112010000000,Bonex                              ,4,0.0
26,112020000000,Titulos                            ,4,0.0
27,112030000000,Otras Colocaciones Financieras     ,4,0.0
28,112040000000,Suscripción FIMA                   ,4,30658637.53
29,112050000000,Bonar X                            ,4,0.0
30,113000000000,Créditos                           ,3,22760976.27
31,113010000000,Comerciales                        ,4,10340740.03
32,113010100000,Acopiadores                        ,5,-3766453.87
33,113010101000,Agroganadera Saladillo SACIAFI     ,6,0.0
34,113010102000,Cóndores SA                        ,6,0.0
35,113010103000,Cía de Alimentos Fargo SA          ,6,0.0
36,113010104000,Pucará SA                          ,6,0.0
37,113010105000,Molinos Rio de La Plata            ,6,0.0
38,113010106000,Multigranos Cereales SA            ,6,0.0
39,113010107000,Cooperativa Agrop.de Bolivar Ltda  ,6,0.0
40,113010108000,Cargill SACI                       ,6,0.0
41,113010109000,Enrique Zeni y Cia SACIAFeI        ,6,0.0
42,113010110000,Julian Ojinaga SRL                 ,6,0.0
43,113010111000,Rosaser SA                         ,6,0.0
44,113010112000,COMPAÑIA ARG-DE GRANOS SA          ,6,0.0
45,113010113000,Catalpa Agropecuaria S.R.L.        ,6,0.0
46,113010114000,Tomas Hnos y Cia Sa                ,6,-3766453.87
47,113010115000,López y Ramos SRL                  ,6,0.0
48,113010200000,Consignatarios                     ,5,281955.06
49,113010201000,Lauquen Agropecuaria SA            ,6,0.0
50,113010202000,Casa Maineri SA                    ,6,0.0
51,113010203000,J.y M.de la Serna SRL              ,6,143510.61
52,113010204000,"Saenz Valiente, Bullrich y Cía SA  ",6,0.0
53,113010205000,José Diaz Herrera SA               ,6,0.0
54,113010206000,Suc.Brivio y Cía SRL               ,6,0.0
55,113010207000,Ganadera Nueva Escocia SA          ,6,0.0
56,113010208000,Carindú SA                         ,6,0.0
57,113010209000,Egal Export SA                     ,6,0.0
58,113010210000,Heguy Hnos y Cía SAC y A           ,6,0.0
59,113010211000,Urturi Hnos SRL                    ,6,0.0
60,113010212000,Benito y Pujol y Cía SA            ,6,0.0
61,113010213000,Finexcor SA                        ,6,0.0
62,113010214000,Cía Rioplatense de Carnes y Ganado ,6,0.0
63,113010215000,Latigo SA                          ,6,0.0
64,113010216000,Frigorífico Gargiulo SA            ,6,0.0
65,113010217000,Roberto J. Iturbe                  ,6,0.0
66,113010218000,Alzaga Unzué y Cía S.A.            ,6,0.0
67,113010219000,Ferias del Centro S.R.L.           ,6,138444.45
68,113010220000,SR Frigorífico S.R.L.              ,6,0.0
69,113010221000,Ganadera San Roque SA              ,6,0.0
70,113010222000,Lartirigoyen y Cía SA              ,6,0.0
71,113010223000,Consimeat SA                       ,6,0.0
72,113010224000,Lawacaloc SA                       ,6,0.0
73,113010225000,Ganadera Salliquelo SA             ,6,0.0
74,113010226000,Frigal SA                          ,6,0.0
75,113010227000,COOP.TRA.FRI.YA. LTDA.             ,6,0.0
76,113010228000,AGROP.LAS HERAS SA                 ,6,0.0
77,113010229000,FACICAR SA                         ,6,0.0
78,113010230000,Frigorifico Bolívar SA             ,6,0.0
79,113010300000,Ds x Vta de Leche                  ,5,13825238.84
80,113010301000,La Serenísima-Mastellone Hnos SA   ,6,0.0
81,113010302000,Lacteos Conosur S.A.               ,6,0.0
82,113010303000,Lacteos Barraza SA                 ,6,13825238.84
83,113010400000,Otros Deudores x Vtas              ,5,0.0
84,113010401000,Deudores por Ventas                ,6,0.0
85,113010402000,Deudores Varios                    ,6,0.0
86,113020000000,Deudores en Mora                   ,4,0.0
87,113030000000,Deudores en Gestión Judicial       ,4,0.0
88,113040000000,Anticipos                          ,4,0.0
89,113040100000,Anticipos proveedores              ,5,0.0
90,113040200000,Anticipos personal                 ,5,0.0
91,113050000000,Fiscales                           ,4,11330224.08
92,113050100000,Anticipos                          ,5,18158.81
93,113050101000,Anticipo Ganancias                 ,6,0.0
94,113050102000,Anticipo Gan.Min.Pres.             ,6,0.0
95,113050103000,IVA Crédito Fiscal                 ,6,0.0
96,113050104000,IVA Devengado                      ,6,18158.81
97,113050200000,Retenciones                        ,5,345877.72
98,113050201000,Retenc.Ganancias                   ,6,345877.72
99,113050202000,Retenc.IVA                         ,6,0.0
100,113050203000,Retenc.Ing.Brutos                  ,6,0.0
101,113050300000,Pagos a Cuenta                     ,5,0.0
102,113050301000,Pago a cta Ganancias               ,6,0.0
103,113050302000,Pago a cta IVA                     ,6,0.0
104,113050303000,Pago a cta ITF                     ,6,0.0
105,113050304000,Pago a cta ITC                     ,6,0.0
106,113050400000,Percepciones                       ,5,376.91
107,113050401000,Percep.Ganancias                   ,6,0.0
108,113050402000,Percep.IVA                         ,6,-113.33
109,113050403000,Percep.Ing.Brutos                  ,6,490.24
110,113050404000,Percep.Endeudamiento Empresario    ,6,0.0
111,113050500000,Saldo a Favor                      ,5,10965810.64
112,113050501000,Saldo a Favor Gcias                ,6,0.0
113,113050502000,Saldo a Favor IVA                  ,6,9196711.47
114,113050503000,Saldo a Favor Ing.B.               ,6,1766127.74
115,113050504000,Credito Impuesto a la Gan.Min.Presu,6,0.0
116,113050505000,Saldo a Favor G.M.P.               ,6,2971.43
117,113050506000,Saldo a Fav.IVA Libre Disp.        ,6,0.0
118,113050507000,Saldo Iva- Credito a Compensar     ,6,0.0
119,113060000000,Societarios                        ,4,1090012.16
120,113060100000,Accionistas o Socios               ,5,1090012.16
121,113060101000,Stegmann Federico                  ,6,1090012.16
122,113060102000,Stegmann Patricio                  ,6,0.0
123,113060103000,Stegmann Sofia                     ,6,0.0
124,113060104000,Stegmann Claudio                   ,6,0.0
125,113060105000,Stegmann Luis                      ,6,0.0
126,113060200000,Directores o Administradores       ,5,0.0
127,113060201000,xxxxxxxxxx                         ,6,0.0
128,113060300000,Asesores                           ,5,0.0
129,113060301000,xxxxxxxxxx                         ,6,0.0
