"ID";"Evento";"DEL";"Fecha";"Nota";"R";"T";"B";"Protocolos;";"Tecnico";"ET Donor Dam";"ET Donor Reg";
      3217 ;PARTO      ;   0 ;10/08/19;                ;  ;   ;  ;                ;                    ;;;
      3217 ;INSEMIN    ;  55 ;04/10/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3217 ;INSEMIN    ;  90 ;08/11/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3217 ;MAST       ; 100 ;18/11/19;                ;  ;   ;  ;                ;                    ;;;
      3217 ;INSEMIN    ; 117 ;05/12/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3217 ;INSEMIN    ; 127 ;15/12/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3217 ;INSEMIN    ; 153 ;10/01/20;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3217 ;VACIA      ; 186 ;12/02/20;                ;  ;   ;  ;                ;                    ;;;
      3217 ;INSEMIN    ; 191 ;17/02/20;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3217 ;VACIA      ; 249 ;15/04/20;                ;  ;   ;  ;                ;                    ;;;
      3217 ;INSEMIN    ; 271 ;07/05/20;RAY             ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3217 ;INSEMIN    ; 295 ;31/05/20;DAZE            ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3217 ;RECHAZO    ; 327 ;02/07/20;UBRE            ;  ;   ;  ;                ;                    ;;;
      3217 ;VACIA      ; 327 ;02/07/20;-               ;  ;   ;  ;                ;                    ;;;
      3217 ;VENDIDA    ; 441 ;24/10/20;CAR3            ;  ;   ;  ;                ;                    ;;;
      3392 ;PARTO      ;   0 ;27/04/19;                ;  ;   ;  ;                ;                    ;;;
      3392 ;INSEMIN    ;  39 ;05/06/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3392 ;INSEMIN    ;  70 ;06/07/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3392 ;RECHAZO    ; 102 ;07/08/19;                ;  ;   ;  ;                ;                    ;;;
      3392 ;VACIA      ; 102 ;07/08/19;                ;  ;   ;  ;                ;                    ;;;
      3392 ;MAST       ; 174 ;18/10/19;                ;  ;   ;  ;                ;                    ;;;
      3392 ;VENDIDA    ; 425 ;25/06/20;VENDIDA         ;  ;   ;  ;                ;                    ;;;
      3764 ;PARTO      ;   0 ;17/07/19;                ;  ;   ;  ;                ;                    ;;;
      3764 ;INSEMIN    ;  36 ;22/08/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3764 ;INSEMIN    ; 127 ;21/11/19;IGNITION        ;P ; 0 ;N ;                ;Tecn#0               ;;;
      3764 ;PREÑADA    ; 162 ;26/12/19;                ;  ;   ;  ;                ;                    ;;;
      3764 ;PREÑADA    ; 351 ;02/07/20;315 DIAS        ;  ;   ;  ;                ;                    ;;;
      3764 ;SECA       ; 353 ;04/07/20;                ;  ;   ;  ;                ;                    ;;;
      3764 ;PARTO      ;   0 ;24/08/20;                ;  ;   ;  ;                ;                    ;;;
      3764 ;RECHAZO    ;   7 ;31/08/20;UBRE 2T         ;  ;   ;  ;                ;                    ;;;
      3764 ;RECK       ; 269 ;20/05/21;BAJAPROD        ;  ;   ;  ;                ;                    ;;;
      3764 ;RECK       ; 269 ;20/05/21;SECA            ;  ;   ;  ;                ;                    ;;;
      3764 ;SECA       ; 270 ;21/05/21;                ;  ;   ;  ;                ;                    ;;;
      3764 ;VENDIDA    ; 323 ;13/07/21;BP              ;  ;   ;  ;                ;                    ;;;
      3776 ;PARTO      ;   0 ;05/06/19;                ;  ;   ;  ;                ;                    ;;;
      3776 ;INSEMIN    ;  55 ;30/07/19;UNIQUE          ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3776 ;PREÑADA    ;  91 ;04/09/19;                ;  ;   ;  ;                ;                    ;;;
      3776 ;INSEMIN    ;  95 ;08/09/19;PESO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3776 ;INSEMIN    ; 119 ;02/10/19;UNIQUE          ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3776 ;INSEMIN    ; 142 ;25/10/19;UNIQUE          ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3776 ;VACIA      ; 174 ;26/11/19;                ;  ;   ;  ;                ;                    ;;;
      3776 ;DIB        ; 184 ;06/12/19;                ;  ;   ;  ;                ;                    ;;;
      3776 ;INSEMIN    ; 194 ;16/12/19;PESO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3776 ;INSEMIN    ; 217 ;08/01/20;PESO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3776 ;DIB        ; 252 ;12/02/20;                ;  ;   ;  ;                ;                    ;;;
      3776 ;VACIA      ; 252 ;12/02/20;                ;  ;   ;  ;                ;                    ;;;
      3776 ;INSEMIN    ; 261 ;21/02/20;TRIBE           ;A ; 0 ;N ;                ;Tecn#0               ;;;
      3776 ;PREÑADA    ; 315 ;15/04/20;                ;  ;   ;  ;                ;                    ;;;
      3776 ;ABORTO     ; 331 ;01/05/20;70 DIAS         ;  ;   ;  ;                ;                    ;;;
      3776 ;INSEMIN    ; 340 ;10/05/20;RAY             ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3776 ;INSEMIN    ; 356 ;26/05/20;DAZE            ;P ; 2 ;N ;                ;Tecn#2               ;;;
      3776 ;PREÑADA    ; 387 ;26/06/20;31 DIAS         ;  ;   ;  ;                ;                    ;;;
      3776 ;MAST       ; 456 ;03/09/20;DD              ;  ;   ;  ;                ;                    ;;;
      3776 ;SIGUEP     ; 563 ;19/12/20;                ;  ;   ;  ;                ;                    ;;;
      3776 ;SECA       ; 587 ;12/01/21;                ;  ;   ;  ;                ;                    ;;;
      3776 ;PARTO      ;   0 ;28/02/21;                ;  ;   ;  ;                ;                    ;;;
      3776 ;MAST       ;   1 ;01/03/21;DD              ;  ;   ;  ;                ;                    ;;;
      3776 ;RECHAZO    ;  60 ;29/04/21;UBREVIEJ        ;  ;   ;  ;                ;                    ;;;
      3776 ;RENGA      ;  95 ;03/06/21;DFS             ;  ;   ;  ;                ;Rosendo M           ;;;
      3776 ;MOVER      ; 282 ;07/12/21;F004T005        ;  ;   ;  ;                ;                    ;;;
      3776 ;MUERTA     ; 308 ;02/01/22;CAIDA           ;  ;   ;  ;                ;                    ;;;
      3808 ;PARTO      ;   0 ;13/12/19;                ;  ;   ;  ;                ;                    ;;;
      3808 ;INSEMIN    ;  59 ;10/02/20;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3808 ;PREÑADA    ;  89 ;11/03/20;                ;  ;   ;  ;                ;                    ;;;
      3808 ;VACIA      ; 145 ;06/05/20;                ;  ;   ;  ;                ;                    ;;;
      3808 ;INSEMIN    ; 145 ;06/05/20;TRIBE           ;O ; 1 ;N ;                ;Facundo              ;;;
      3808 ;INSEMIN    ; 185 ;15/06/20;WARNING         ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3808 ;INSEMIN    ; 205 ;05/07/20;WARNING         ;P ; 2 ;H ;                ;Tecn#2               ;;;
      3808 ;PREÑADA    ; 237 ;06/08/20;32 DIAS         ;  ;   ;  ;                ;                    ;;;
      3808 ;SIGUEP     ; 406 ;22/01/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;SECA       ; 439 ;24/02/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;PARTO      ;   0 ;03/04/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;MAST       ;  38 ;11/05/21;DD              ;  ;   ;  ;                ;                    ;;;
      3808 ;PROSTA     ;  53 ;26/05/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;DIB        ;  59 ;01/06/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;INSEMIN    ;  69 ;11/06/21;RUBEN           ;O ; 2 ;H ;                ;Tecn#2               ;;;
      3808 ;INSEMIN    ;  94 ;06/07/21;RUBEN           ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3808 ;CELO       ; 122 ;03/08/21;ESCAPO          ;  ;   ;  ;                ;                    ;;;
      3808 ;VACIA      ; 123 ;04/08/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;DIB        ; 123 ;04/08/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;INSEMIN    ; 132 ;13/08/21;RUBEN           ;O ; 2 ;T ;                ;Tecn#2               ;;;
      3808 ;MAST       ; 139 ;20/08/21;DI              ;  ;   ;  ;                ;                    ;;;
      3808 ;INSEMIN    ; 165 ;15/09/21;MOOLA           ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3808 ;PROSTA     ; 201 ;21/10/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;VACIA      ; 201 ;21/10/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;INSEMIN    ; 212 ;01/11/21;MOOLA           ;O ; 4 ;N ;                ;Tecn#4               ;;;
      3808 ;PROSTA     ; 243 ;02/12/21;-               ;  ;   ;  ;                ;                    ;;;
      3808 ;VACIA      ; 243 ;02/12/21;-               ;  ;   ;  ;                ;                    ;;;
      3808 ;DIB        ; 245 ;04/12/21;                ;  ;   ;  ;                ;                    ;;;
      3808 ;INSEMIN    ; 254 ;13/12/21;MOOLA           ;A ; 1 ;T ;                ;Facundo              ;;;
      3808 ;PREÑADA    ; 285 ;13/01/22;31 DIAS         ;  ;   ;  ;                ;                    ;;;
      3808 ;CELO       ; 408 ;16/05/22;94              ;  ;   ;  ;                ;                    ;;;
      3808 ;RECHAZO    ; 416 ;24/05/22;ABORTA          ;  ;   ;  ;                ;                    ;;;
      3808 ;ABORTO     ; 416 ;24/05/22;162 DIAS        ;  ;   ;  ;                ;                    ;;;
      3808 ;SECA       ; 438 ;15/06/22;                ;  ;   ;  ;                ;                    ;;;
      3808 ;VENDIDA    ; 460 ;07/07/22;REPRO           ;  ;   ;  ;                ;                    ;;;
      3816 ;PARTO      ;   0 ;05/06/19;                ;  ;   ;  ;                ;                    ;;;
      3816 ;INSEMIN    ;  75 ;19/08/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3816 ;INSEMIN    ;  86 ;30/08/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3816 ;INSEMIN    ; 100 ;13/09/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3816 ;PREÑADA    ; 134 ;17/10/19;                ;  ;   ;  ;                ;                    ;;;
      3816 ;INSEMIN    ; 201 ;23/12/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3816 ;INSEMIN    ; 225 ;16/01/20;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3816 ;VACIA      ; 261 ;21/02/20;                ;  ;   ;  ;                ;                    ;;;
      3816 ;RECHAZO    ; 261 ;21/02/20;                ;  ;   ;  ;                ;                    ;;;
      3816 ;VENDIDA    ; 386 ;25/06/20;VENDIDA         ;  ;   ;  ;                ;                    ;;;
      3884 ;PARTO      ;   0 ;05/02/20;                ;  ;   ;  ;                ;                    ;;;
      3884 ;MAST       ;  28 ;04/03/20;                ;  ;   ;  ;                ;                    ;;;
      3884 ;INSEMIN    ; 100 ;15/05/20;WARNING         ;- ; 2 ;N ;                ;Tecn#2               ;;;
      3884 ;VENDIDA    ; 141 ;25/06/20;VENDIDA         ;  ;   ;  ;                ;                    ;;;
      3885 ;PARTO      ;   0 ;01/11/19;                ;  ;   ;  ;                ;                    ;;;
      3885 ;INSEMIN    ;  70 ;10/01/20;PESO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3885 ;MAST       ;  91 ;31/01/20;                ;  ;   ;  ;                ;                    ;;;
      3885 ;INSEMIN    ;  91 ;31/01/20;HOLLIS          ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3885 ;VACIA      ; 125 ;05/03/20;                ;  ;   ;  ;                ;                    ;;;
      3885 ;DIB        ; 125 ;05/03/20;                ;  ;   ;  ;                ;                    ;;;
      3885 ;INSEMIN    ; 134 ;14/03/20;TRIBE           ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3885 ;INSEMIN    ; 186 ;05/05/20;TRIBE           ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3885 ;INSEMIN    ; 208 ;27/05/20;DAZE            ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3885 ;INSEMIN    ; 227 ;15/06/20;WARNING         ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3885 ;VACIA      ; 262 ;20/07/20;PG              ;  ;   ;  ;                ;                    ;;;
      3885 ;INSEMIN    ; 264 ;22/07/20;WARNING         ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3885 ;INSEMIN    ; 296 ;23/08/20;DREAMWEA        ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3885 ;INSEMIN    ; 318 ;14/09/20;CHARIOT         ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3885 ;RECHAZO    ; 348 ;14/10/20;REPRO           ;  ;   ;  ;                ;                    ;;;
      3885 ;VACIA      ; 348 ;14/10/20;                ;  ;   ;  ;                ;                    ;;;
      3885 ;MAST       ; 532 ;16/04/21;TI              ;  ;   ;  ;                ;                    ;;;
      3885 ;VENDIDA    ; 689 ;20/09/21;CAR3            ;  ;   ;  ;                ;                    ;;;
      3932 ;PARTO      ;   0 ;12/12/19;                ;  ;   ;  ;                ;                    ;;;
      3932 ;MAST       ;  21 ;02/01/20;                ;  ;   ;  ;                ;                    ;;;
      3932 ;INSEMIN    ;  60 ;10/02/20;HOLLIS          ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3932 ;INSEMIN    ;  70 ;20/02/20;JEBRASKA        ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3932 ;INSEMIN    ;  90 ;11/03/20;RAY             ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3932 ;VACIA      ; 125 ;15/04/20;                ;  ;   ;  ;                ;                    ;;;
      3932 ;INSEMIN    ; 148 ;08/05/20;TRIBE           ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3932 ;INSEMIN    ; 169 ;29/05/20;DAZE            ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3932 ;INSEMIN    ; 192 ;21/06/20;WARNING         ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3932 ;INSEMIN    ; 197 ;26/06/20;WARNING         ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3932 ;INSEMIN    ; 235 ;03/08/20;TRIBE           ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3932 ;INSEMIN    ; 257 ;25/08/20;JEBRASKA        ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3932 ;VACIA      ; 292 ;29/09/20;                ;  ;   ;  ;                ;                    ;;;
      3932 ;RECHAZO    ; 292 ;29/09/20;REPRO           ;  ;   ;  ;                ;                    ;;;
      3932 ;MAST       ; 526 ;21/05/21;DD              ;  ;   ;  ;                ;                    ;;;
      3932 ;SECA       ; 565 ;29/06/21;VENTA           ;  ;   ;  ;                ;                    ;;;
      3932 ;VENDIDA    ; 579 ;13/07/21;TBC             ;  ;   ;  ;                ;                    ;;;
      3967 ;PARTO      ;   0 ;05/03/20;                ;  ;   ;  ;                ;                    ;;;
      3967 ;INSEMIN    ;  66 ;10/05/20;RAY             ;O ; 2 ;N ;                ;Tecn#2               ;;;
      3967 ;INSEMIN    ; 114 ;27/06/20;WARNING         ;P ; 2 ;N ;                ;Tecn#2               ;;;
      3967 ;PREÑADA    ; 145 ;28/07/20;31 DIAS         ;  ;   ;  ;                ;                    ;;;
      3967 ;VENDIDA    ; 315 ;14/01/21;TBC             ;  ;   ;  ;                ;                    ;;;
      3971 ;PARTO      ;   0 ;23/08/18;                ;  ;   ;  ;                ;                    ;;;
      3971 ;MAST       ;  83 ;14/11/18;                ;  ;   ;  ;                ;                    ;;;
      3971 ;INSEMIN    ; 143 ;13/01/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;VACIA      ; 174 ;13/02/19;                ;  ;   ;  ;                ;                    ;;;
      3971 ;INSEMIN    ; 187 ;26/02/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;VACIA      ; 230 ;10/04/19;                ;  ;   ;  ;                ;                    ;;;
      3971 ;INSEMIN    ; 266 ;16/05/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;VACIA      ; 300 ;19/06/19;                ;  ;   ;  ;                ;                    ;;;
      3971 ;DIB        ; 306 ;25/06/19;                ;  ;   ;  ;                ;                    ;;;
      3971 ;INSEMIN    ; 316 ;05/07/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;VACIA      ; 349 ;07/08/19;                ;  ;   ;  ;                ;                    ;;;
      3971 ;INSEMIN    ; 351 ;09/08/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;INSEMIN    ; 379 ;06/09/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;INSEMIN    ; 405 ;02/10/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;VACIA      ; 442 ;08/11/19;                ;  ;   ;  ;                ;                    ;;;
      3971 ;INSEMIN    ; 457 ;23/11/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;VACIA      ; 490 ;26/12/19;                ;  ;   ;  ;                ;                    ;;;
      3971 ;DIB        ; 498 ;03/01/20;                ;  ;   ;  ;                ;                    ;;;
      3971 ;INSEMIN    ; 508 ;13/01/20;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;INSEMIN    ; 534 ;08/02/20;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;INSEMIN    ; 558 ;03/03/20;RAY             ;P ; 0 ;N ;                ;Tecn#0               ;;;
      3971 ;PREÑADA    ; 601 ;15/04/20;                ;  ;   ;  ;                ;                    ;;;
      3971 ;SECA       ; 625 ;09/05/20;                ;  ;   ;  ;                ;                    ;;;
      3971 ;TRATADA    ;   0 ;26/11/20;ATB             ;  ;   ;  ;                ;                    ;;;
      3971 ;PARTO      ;   0 ;26/11/20;                ;  ;   ;  ;                ;                    ;;;
      3971 ;MAST       ;   4 ;30/11/20;TD              ;  ;   ;  ;                ;                    ;;;
      3971 ;MUERTA     ;   8 ;04/12/20;CAR6            ;  ;   ;  ;                ;                    ;;;
      3994 ;PARTO      ;   0 ;04/12/19;                ;  ;   ;  ;                ;                    ;;;
      3994 ;INSEMIN    ;  67 ;09/02/20;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      3994 ;INSEMIN    ; 194 ;15/06/20;WARNING         ;- ; 2 ;N ;                ;Tecn#2               ;;;
      3994 ;CELO       ; 216 ;07/07/20;NO IA           ;  ;   ;  ;                ;                    ;;;
      3994 ;RECHAZO    ; 217 ;08/07/20;UBRE            ;  ;   ;  ;                ;                    ;;;
      3994 ;MAST       ; 411 ;18/01/21;TI              ;  ;   ;  ;                ;                    ;;;
      3994 ;VENDIDA    ; 428 ;04/02/21;UBRE            ;  ;   ;  ;                ;                    ;;;
      4006 ;PARTO      ;   0 ;03/11/18;                ;  ;   ;  ;                ;                    ;;;
      4006 ;INSEMIN    ;  59 ;01/01/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ;  76 ;18/01/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ;  95 ;06/02/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ; 116 ;27/02/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ; 140 ;23/03/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;VACIA      ; 172 ;24/04/19;                ;  ;   ;  ;                ;                    ;;;
      4006 ;INSEMIN    ; 182 ;04/05/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ; 206 ;28/05/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ; 219 ;10/06/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ; 240 ;01/07/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ; 263 ;24/07/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;INSEMIN    ; 286 ;16/08/19;TORO            ;O ; 0 ;N ;                ;Tecn#0               ;;;
      4006 ;DIB        ; 318 ;17/09/19;                ;  ;   ;  ;                ;                    ;;;
