campo,lote_id,lote_nombre,ambiente_id,ambiente_nombre,ha
La Merced,LM_L3,Lote 3,lote_3a,Lote 3a,
La Merced,LM_L3,Lote 3,lote_3b,Lote 3b,
La Merced,LM_L4,Lote 4,lote_4a,Lote 4a,
La Merced,LM_L3,Lote 3,lote_3c,Lote 3c,
La Merced,LM_L4,Lote 4,lote_4b,Lote 4b,
La Merced,LM_L5,Lote 5,lote_5b,Lote 5b,
La Merced,LM_L2,Lote 2,lote_2a,Lote 2a,
La Merced,LM_L2,Lote 2,lote_2b,Lote 2b,
La Merced,LM_L1,Lote 1,lote_1bc,Lote 1bc,
La Merced,LM_L1,Lote 1,lote_1a,Lote 1a,
La Merced,LM_L5,Lote 5,lote_5a,Lote 5a,
La Merced,LM_L6,Lote 6,lote_6,Lote 6,
La Merced,LM_L7,Lote 7,lote_7a,Lote 7a,
La Merced,LM_L8,Lote 8,lote_8,Lote 8,
La Merced,LM_L7,Lote 7,lote_7b,Lote 7b,
La Merced,LM_L9,Lote 9,lote_9,Lote 9,
La Merced,LM_L11,Lote 11,lote_11,Lote 11,
La Merced,LM_L12,Lote 12,lote_12,Lote 12,
La Merced,LM_L13,Lote 13,lote_13,Lote 13,
La Merced,LM_L14,Lote 14,lote_14,Lote 14,
La Merced,LM_L10,Lote 10,lote_10a,Lote 10a,
La Merced,LM_L10,Lote 10,lote_10b,Lote 10b,
La Merced,LM_L15,Lote 15,lote_15,Lote 15,
La Merced,LM_L16,Lote 16,lote_16,Lote 16,
La Merced,LM_L17,Lote 17,lote_17,Lote 17,
La Merced,LM_L18,Lote 18,lote_18,Lote 18,
La Merced,LM_L19,Lote 19,lote_19,Lote 19,
La Merced,LM_L20,Lote 20,lote_20,Lote 20,
La Merced,LM_L21,Lote 21,lote_21,Lote 21,
La Merced,LM_L22,Lote 22,lote_22,Lote 22,
La Merced,LM_L23,Lote 23,lote_23,Lote 23,
La Merced,LM_L24,Lote 24,lote_24a,Lote 24a,
La Merced,LM_L24,Lote 24,lote_24b,Lote 24b,
La Merced,LM_L25,Lote 25,lote_25a,Lote 25a,
La Merced,LM_L25,Lote 25,lote_25b,Lote 25b,
La Merced,LM_L26,Lote 26,lote_26a,Lote 26a,
La Merced,LM_L26,Lote 26,lote_26b1,Lote 26b1,
La Merced,LM_L26,Lote 26,lote_26b2,Lote 26b2,
La Merced,LM_L27,Lote 27,lote_27,Lote 27,
Pillahuinco,P_L21,Lote 21,pilla_lote_21_alto,Pilla Lote 21 Alto,
Pillahuinco,P_L26,Lote 26,pilla_lote_26,Pilla Lote 26,
Pillahuinco,P_L22,Lote 22,pilla_lote_22_puesto,Pilla Lote 22 Puesto,
Pillahuinco,P_L22,Lote 22,pilla_lote_22_escuela,Pilla Lote 22 Escuela,
Pillahuinco,P_L10,Lote 10,pilla_lote_10_corrales,Pilla Lote 10 Corrales,
Pillahuinco,P_L9,Lote 9,pilla_lote_9_cerro,Pilla Lote 9 Cerro,
Pillahuinco,P_L22,Lote 22,pilla_lote_22_ruta,Pilla Lote 22 Ruta,
Pillahuinco,P_Maldonado,Maldonado,pilla_maldonado,Pilla Maldonado,
Pillahuinco,P_L13,Lote 13,pilla_lote_13_tigre_bajo,Pilla Lote 13 Tigre Bajo,
Pillahuinco,P_L14,Lote 14,pilla_lote_14_tigre,Pilla Lote 14 Tigre,
Pillahuinco,P_L14,Lote 14,pilla_lote_14_carneros,Pilla Lote 14 Carneros,
Pillahuinco,P_L24,Lote 24,pilla_lote_24,Pilla Lote 24,
Pillahuinco,P_L21,Lote 21,pilla_lote_21_bajo,Pilla Lote 21 Bajo,
