campo,lote_id,ambiente_id,campaña,actividad,escenario,seccion,orden,item,unidad,precio_ppto,cant_ppto,valor_ppto,precio_real,cant_real,valor_real,diferencia,nota
La Merced,(campo),(campo),25/26,Cebada,Real,Ingresos,1,Cosecha,US$/ha,,,, 148,1.03,152.93,,360 ha · 1.03 tn/ha · U$S 148/tn
La Merced,(campo),(campo),25/26,Cebada,Real,Ingresos,2,Seguro agrícola,US$/ha,,,,,,42.52,,
La Merced,(campo),(campo),25/26,Cebada,Real,Costos Directos,1,Labores contratista,US$/ha,,,,,,106.16,,
La Merced,(campo),(campo),25/26,Cebada,Real,Costos Directos,2,Fertilizantes,US$/ha,,,,,,71.67,,
La Merced,(campo),(campo),25/26,Cebada,Real,Costos Directos,3,Semilla,US$/ha,,,,,,68.26,,
La Merced,(campo),(campo),25/26,Cebada,Real,Costos Directos,4,Herbicidas,US$/ha,,,,,,19.44,,
La Merced,(campo),(campo),25/26,Cebada,Real,Costos Directos,5,Seguros,US$/ha,,,,,,10.08,,
La Merced,(campo),(campo),25/26,Cebada,Real,Costos Directos,6,Otros gastos,US$/ha,,,,,,2.73,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Ingresos,1,Cosecha,US$/ha,,,,153.55,4.38,672.40,,93 ha · 4.38 tn/ha · U$S 153.55/tn
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Ingresos,2,Seguro agrícola,US$/ha,,,,,,42.04,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,1,Labores contratista,US$/ha,,,,,,201.90,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,2,Fertilizantes,US$/ha,,,,,,119.84,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,3,Herbicidas,US$/ha,,,,,,67.13,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,4,Fungicidas,US$/ha,,,,,,35.27,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,5,Semilla,US$/ha,,,,,,23.23,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,6,Cosecha contratista,US$/ha,,,,,,23.23,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,7,Seguros,US$/ha,,,,,,16.94,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,8,Otros gastos,US$/ha,,,,,,4.78,,
Pillahuinco,(campo),(campo),25/26,Cebada,Real,Costos Directos,9,Insecticidas,US$/ha,,,,,,0.40,,
Pillahuinco,(campo),(campo),25/26,Girasol,Real,Ingresos,1,Cosecha,US$/ha,,,,351.00,1.98,695.16,,180 ha · 1.98 tn/ha · U$S 351/tn
Pillahuinco,(campo),(campo),25/26,Girasol,Real,Costos Directos,1,Labores contratista,US$/ha,,,,,,93.51,,
Pillahuinco,(campo),(campo),25/26,Girasol,Real,Costos Directos,2,Herbicidas,US$/ha,,,,,,74.61,,
Pillahuinco,(campo),(campo),25/26,Girasol,Real,Costos Directos,3,Cosecha contratista,US$/ha,,,,,,67.34,,
Pillahuinco,(campo),(campo),25/26,Girasol,Real,Costos Directos,4,Semilla,US$/ha,,,,,,44.74,,
Pillahuinco,(campo),(campo),25/26,Girasol,Real,Costos Directos,5,Fertilizantes,US$/ha,,,,,,42.50,,
Pillahuinco,(campo),(campo),25/26,Girasol,Real,Costos Directos,6,Otros gastos,US$/ha,,,,,,16.21,,
Pillahuinco,(campo),(campo),25/26,Girasol,Real,Costos Directos,7,Insecticidas,US$/ha,,,,,,8.25,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Ingresos,1,Cosecha,US$/ha,,,,153.55,3.78,580.42,,97 ha · 3.78 tn/ha · U$S 153.55/tn
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Ingresos,2,Seguro agrícola,US$/ha,,,,,,28.87,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Costos Directos,1,Labores contratista,US$/ha,,,,,,187.20,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Costos Directos,2,Fertilizantes,US$/ha,,,,,,135.10,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Costos Directos,3,Fungicidas,US$/ha,,,,,,51.13,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Costos Directos,4,Herbicidas,US$/ha,,,,,,31.32,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Costos Directos,5,Semilla,US$/ha,,,,,,24.74,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Costos Directos,6,Seguros,US$/ha,,,,,,16.94,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Costos Directos,7,Otros gastos,US$/ha,,,,,,8.55,,
Pillahuinco,(campo),(campo),25/26,Trigo,Real,Costos Directos,8,Insecticidas,US$/ha,,,,,,0.38,,
