Tipo,Anio,Item,Monto
activo corriente,2004,caja y bancos,115125.63
activo corriente,2004,creditos por ventas,311190.79
activo corriente,2004,otros creditos,502537.05
activo corriente,2004,bienes de cambio,3914755.89
activo corriente,2004,otros activos,29500
activo no corriente,2004,creditos por ventas,19744.86
activo no corriente,2004,bienes de uso,1287603.02
pasivo corriente,2004,cuentas a pagar,262646.08
pasivo corriente,2004,prestamos bancarios,0
pasivo corriente,2004,remuneraciones y cargas sociales,8484.99
pasivo no corriente,2004,otros pasivos,0.06
patrimonio neto,2004,segun estado respectivo,5886912.66
activo corriente,2005,caja y bancos,177643.26
activo corriente,2005,inversiones temporarias,291379.54
activo corriente,2005,creditos por ventas,413117.72
activo corriente,2005,otros creditos,218347.24
activo corriente,2005,bienes de cambio,3501136.9
activo corriente,2005,otros activos,29500
activo no corriente,2005,creditos por ventas,0
activo no corriente,2005,bienes de uso,2390327.43
pasivo corriente,2005,cuentas a pagar,276678.64
pasivo corriente,2005,remuneraciones y cargas sociales,11732
pasivo corriente,2005,cargas fiscales,11571.46
pasivo corriente,2005,otros pasivos,12718.74
pasivo no corriente,2005,otros pasivos,0.06
patrimonio neto,2005,segun estado respectivo,6708751.19
activo corriente,2006,caja y bancos,34060.48
activo corriente,2006,inversiones temporarias,292900
activo corriente,2006,creditos por ventas,440591.26
activo corriente,2006,otros creditos,99414.4
activo corriente,2006,bienes de cambio,4256545.72
activo corriente,2006,otros activos,29500
activo no corriente,2006,bienes de uso,2409657.79
pasivo corriente,2006,cuentas a pagar,333653.67
pasivo corriente,2006,prestamos bancarios,140993.18
pasivo corriente,2006,remuneraciones y cargas sociales,13496.96
pasivo corriente,2006,cargas fiscales,23531.37
pasivo corriente,2006,otros pasivos,37174.54
pasivo no corriente,2006,otros pasivos,0.06
patrimonio neto,2006,segun estado respectivo,7013819.87
activo corriente,2007,caja y bancos,55061.57
activo corriente,2007,inversiones temporarias,111618.39
activo corriente,2007,creditos por ventas,663470.64
activo corriente,2007,otros creditos,255614.23
activo corriente,2007,bienes de cambio,5520772.19
activo corriente,2007,otros activos,29500
activo no corriente,2007,bienes de uso,2382760.89
pasivo corriente,2007,cuentas a pagar,596280.44
pasivo corriente,2007,prestamos bancarios,56.09
pasivo corriente,2007,remuneraciones y cargas sociales,34038.85
pasivo corriente,2007,cargas fiscales,103956.99
pasivo corriente,2007,otros pasivos,61310.02
pasivo no corriente,2007,otros pasivos,0.06
patrimonio neto,2007,segun estado respectivo,8223155.46
activo corriente,2008,caja y bancos,13358.3
activo corriente,2008,inversiones temporarias,443880.64
activo corriente,2008,creditos por ventas,636979.23
activo corriente,2008,otros creditos,77683.37
activo corriente,2008,bienes de cambio,5698488.27
activo corriente,2008,otros activos,29500
activo no corriente,2008,bienes de uso,2564808.88
pasivo corriente,2008,cuentas a pagar,727392.92
pasivo corriente,2008,prestamos bancarios,133531.91
pasivo corriente,2008,remuneraciones y cargas sociales,29949.88
pasivo corriente,2008,cargas fiscales,21992.27
pasivo corriente,2008,otros pasivos,505314.59
pasivo no corriente,2008,otros pasivos,0.06
patrimonio neto,2008,segun estado respectivo,8046517.06
activo corriente,2009,caja y bancos,17180.69
activo corriente,2009,inversiones temporarias,407357.32
activo corriente,2009,creditos por ventas,707529.83
activo corriente,2009,otros creditos,744946.28
activo corriente,2009,bienes de cambio,6146286.85
activo corriente,2009,otros activos,29500
activo no corriente,2009,bienes de uso,2536165.64
pasivo corriente,2009,cuentas a pagar,1066159.26
pasivo corriente,2009,prestamos bancarios,283676.81
pasivo corriente,2009,remuneraciones y cargas sociales,43503.45
pasivo corriente,2009,cargas fiscales,2839.72
pasivo corriente,2009,otros pasivos,748851.53
pasivo no corriente,2009,otros pasivos,0.06
patrimonio neto,2009,segun estado respectivo,8443935.78
activo corriente,2012,caja y bancos,567432.85
activo corriente,2012,inversiones temporarias,1346217.51
activo corriente,2012,creditos por ventas,1211144
activo corriente,2012,otros creditos,949943.87
activo corriente,2012,bienes de cambio,12487252.71
activo corriente,2012,otros activos,0
activo no corriente,2012,bienes de uso,3456683.48
pasivo corriente,2012,cuentas a pagar,2447187.09
pasivo corriente,2012,prestamos bancarios,510029.45
pasivo corriente,2012,remuneraciones y cargas sociales,74997.41
pasivo corriente,2012,cargas fiscales,138041.28
pasivo corriente,2012,otros pasivos,951129.48
pasivo no corriente,2012,otros pasivos,0.06
patrimonio neto,2012,segun estado respectivo,15897289.65
activo corriente,2013,caja y bancos,948538.45
activo corriente,2013,inversiones temporarias,1012704.19
activo corriente,2013,creditos por ventas,2128595.27
activo corriente,2013,otros creditos,793736.51
activo corriente,2013,bienes de cambio,12646007.37
activo corriente,2013,otros activos,0
activo no corriente,2013,bienes de uso,3379365.86
pasivo corriente,2013,cuentas a pagar,1633253.69
pasivo corriente,2013,prestamos bancarios,1014097.75
pasivo corriente,2013,remuneraciones y cargas sociales,222301.06
pasivo corriente,2013,cargas fiscales,8408.19
pasivo corriente,2013,otros pasivos,592594.86
pasivo no corriente,2013,otros pasivos,3470655.55
