planteo_id,mes,seccion,orden,item,unidad,precio_ppto,cant_ppto,valor_ppto,precio_real,cant_real,valor_real,diferencia,nota
LM_CEB_2526_001,,Ingresos,1,Cosecha,US$/ha,,,,148,1.03,152.93,,360 ha · 1.03 tn/ha · U$S 148/tn
LM_CEB_2526_001,,Ingresos,2,Seguro agrícola,US$/ha,,,,,,42.52,,
LM_CEB_2526_001,,Costos Directos,1,Labores contratista,US$/ha,,,,,,106.16,,
LM_CEB_2526_001,,Costos Directos,2,Fertilizantes,US$/ha,,,,,,71.67,,
LM_CEB_2526_001,,Costos Directos,3,Semilla,US$/ha,,,,,,68.26,,
LM_CEB_2526_001,,Costos Directos,4,Herbicidas,US$/ha,,,,,,19.44,,
LM_CEB_2526_001,,Costos Directos,5,Seguros,US$/ha,,,,,,10.08,,
LM_CEB_2526_001,,Costos Directos,6,Otros gastos,US$/ha,,,,,,2.73,,
PM_CEB_2526_001,,Ingresos,1,Cosecha,US$/ha,,,,153.55,4.38,672.40,,93 ha · 4.38 tn/ha · U$S 153.55/tn
PM_CEB_2526_001,,Ingresos,2,Seguro agrícola,US$/ha,,,,,,42.04,,
PM_CEB_2526_001,,Costos Directos,1,Labores contratista,US$/ha,,,,,,201.90,,
PM_CEB_2526_001,,Costos Directos,2,Fertilizantes,US$/ha,,,,,,119.84,,
PM_CEB_2526_001,,Costos Directos,3,Herbicidas,US$/ha,,,,,,67.13,,
PM_CEB_2526_001,,Costos Directos,4,Fungicidas,US$/ha,,,,,,35.27,,
PM_CEB_2526_001,,Costos Directos,5,Semilla,US$/ha,,,,,,23.23,,
PM_CEB_2526_001,,Costos Directos,6,Cosecha contratista,US$/ha,,,,,,23.23,,
PM_CEB_2526_001,,Costos Directos,7,Seguros,US$/ha,,,,,,16.94,,
PM_CEB_2526_001,,Costos Directos,8,Otros gastos,US$/ha,,,,,,4.78,,
PM_CEB_2526_001,,Costos Directos,9,Insecticidas,US$/ha,,,,,,0.40,,
PM_GIR_2526_001,,Ingresos,1,Cosecha,US$/ha,,,,351.00,1.98,695.16,,180 ha · 1.98 tn/ha · U$S 351/tn
PM_GIR_2526_001,,Costos Directos,1,Labores contratista,US$/ha,,,,,,93.51,,
PM_GIR_2526_001,,Costos Directos,2,Herbicidas,US$/ha,,,,,,74.61,,
PM_GIR_2526_001,,Costos Directos,3,Cosecha contratista,US$/ha,,,,,,67.34,,
PM_GIR_2526_001,,Costos Directos,4,Semilla,US$/ha,,,,,,44.74,,
PM_GIR_2526_001,,Costos Directos,5,Fertilizantes,US$/ha,,,,,,42.50,,
PM_GIR_2526_001,,Costos Directos,6,Otros gastos,US$/ha,,,,,,16.21,,
PM_GIR_2526_001,,Costos Directos,7,Insecticidas,US$/ha,,,,,,8.25,,
PM_TRI_2526_001,,Ingresos,1,Cosecha,US$/ha,,,,153.55,3.78,580.42,,97 ha · 3.78 tn/ha · U$S 153.55/tn
PM_TRI_2526_001,,Ingresos,2,Seguro agrícola,US$/ha,,,,,,28.87,,
PM_TRI_2526_001,,Costos Directos,1,Labores contratista,US$/ha,,,,,,187.20,,
PM_TRI_2526_001,,Costos Directos,2,Fertilizantes,US$/ha,,,,,,135.10,,
PM_TRI_2526_001,,Costos Directos,3,Fungicidas,US$/ha,,,,,,51.13,,
PM_TRI_2526_001,,Costos Directos,4,Herbicidas,US$/ha,,,,,,31.32,,
PM_TRI_2526_001,,Costos Directos,5,Semilla,US$/ha,,,,,,24.74,,
PM_TRI_2526_001,,Costos Directos,6,Seguros,US$/ha,,,,,,16.94,,
PM_TRI_2526_001,,Costos Directos,7,Otros gastos,US$/ha,,,,,,8.55,,
PM_TRI_2526_001,,Costos Directos,8,Insecticidas,US$/ha,,,,,,0.38,,
