referencia_id,cultivo,campaña,fuente,fecha_publicacion,zona,nota
TRI_SE_2627_001,Trigo,26/27,Revista Márgenes Agropecuarios,,Sudeste Bs As,Escenario rinde bajo 45 qq/ha (4.5 tn/ha). Precio trigo ene/27: U$S 208/tn. TC referencia: $1511/dólar. Labranzas: Fertilización U$S24.2 + Siembra directa c/fert. U$S53.1 + Pulverización terrestre U$S29.0 = U$S106.3/ha (2.20 UTA/ha).
TRI_SE_2627_002,Trigo,26/27,Revista Márgenes Agropecuarios,,Sudeste Bs As,Escenario rinde alto 65 qq/ha (6.5 tn/ha). Precio trigo ene/27: U$S 208/tn. TC referencia: $1511/dólar. Labranzas: Fertilización U$S24.2 + Siembra directa c/fert. U$S53.1 + Pulverización terrestre U$S29.0 = U$S106.3/ha (2.20 UTA/ha).
MAI_NO_2627_001,Maíz,26/27,Revista Márgenes Agropecuarios,,Norte Bs As,Escenario rinde bajo 110 qq/ha (11.0 tn/ha). Precio maíz abr/27: U$S 185/tn. TC referencia: $1511/dólar. Labranzas: Fertilización U$S12.1 + Siembra directa c/fert. U$S53.1 + Pulverización aérea U$S14.5 + Pulverización terrestre U$S21.7 = U$S101.5/ha (2.10 UTA/ha).
MAI_NO_2627_002,Maíz,26/27,Revista Márgenes Agropecuarios,,Norte Bs As,Escenario rinde alto 130 qq/ha (13.0 tn/ha). Precio maíz abr/27: U$S 185/tn. TC referencia: $1511/dólar. Labranzas: Fertilización U$S12.1 + Siembra directa c/fert. U$S53.1 + Pulverización aérea U$S14.5 + Pulverización terrestre U$S21.7 = U$S101.5/ha (2.10 UTA/ha).
GIR_OE_2627_001,Girasol,26/27,Revista Márgenes Agropecuarios,,Oeste de Bs As,Escenario rinde bajo 25 qq/ha (2.5 tn/ha). Precio girasol mar/27 estimado: U$S 390/tn + bonificación aceite U$S39/tn. TC referencia: $1511/dólar. Semilla CL: bolsas de 180.000 semillas curadas con Gaucho. Labranzas: Siembra directa U$S53.1 + Fertilización U$S12.1 + Pulv. terrestre U$S21.7 + Pulv. aérea U$S14.5 = U$S101.5/ha (2.10 UTA/ha).
GIR_OE_2627_002,Girasol,26/27,Revista Márgenes Agropecuarios,,Oeste de Bs As,Escenario rinde alto 32 qq/ha (3.2 tn/ha). Precio girasol mar/27 estimado: U$S 390/tn + bonificación aceite U$S39/tn. TC referencia: $1511/dólar. Semilla CL: bolsas de 180.000 semillas curadas con Gaucho. Labranzas: Siembra directa U$S53.1 + Fertilización U$S12.1 + Pulv. terrestre U$S21.7 + Pulv. aérea U$S14.5 = U$S101.5/ha (2.10 UTA/ha).
MAI_SE_2627_001,Maíz,26/27,Revista Márgenes Agropecuarios,2026-08-03,Sudeste Bs.As.,Escenario rinde bajo 70 qq/ha (7.0 tn/ha). Precio maíz abr/27: U$S 194/tn. TC referencia: $1515/dólar. Labranzas: Siembra directa U$S54.5 + Fertilización U$S12.4 + Pulv. terrestre(3) U$S22.3 = U$S89.1/ha (1.80 UTA/ha).
MAI_SE_2627_002,Maíz,26/27,Revista Márgenes Agropecuarios,2026-08-03,Sudeste Bs.As.,Escenario rinde alto 90 qq/ha (9.0 tn/ha). Precio maíz abr/27: U$S 194/tn. TC referencia: $1515/dólar. Labranzas: Siembra directa U$S54.5 + Fertilización U$S12.4 + Pulv. terrestre(3) U$S22.3 = U$S89.1/ha (1.80 UTA/ha).
MAI_SO_2627_001,Maíz,26/27,Revista Márgenes Agropecuarios,2026-08-03,Sudoeste Bs.As.,Escenario rinde bajo 60 qq/ha (6.0 tn/ha). Precio maíz abr/27: U$S 194/tn. TC referencia: $1515/dólar. Labranzas: Siembra directa U$S54.5 + Fertilización U$S12.4 + Pulv. terrestre(4) U$S29.7 = U$S96.5/ha (1.95 UTA/ha).
MAI_SO_2627_002,Maíz,26/27,Revista Márgenes Agropecuarios,2026-08-03,Sudoeste Bs.As.,Escenario rinde alto 70 qq/ha (7.0 tn/ha). Precio maíz abr/27: U$S 194/tn. TC referencia: $1515/dólar. Labranzas: Siembra directa U$S54.5 + Fertilización U$S12.4 + Pulv. terrestre(4) U$S29.7 = U$S96.5/ha (1.95 UTA/ha).
