referencia_id,seccion,orden,item,unidad,precio,cantidad,valor,nota
TRI_SE_2627_001,Ingresos,1,Cosecha,US$/ha,208,4.5,936,
TRI_SE_2627_001,Costos Directos,1,Labranzas,US$/ha,,,106,
TRI_SE_2627_001,Costos Directos,2,Semilla,US$/ha,,,59,
TRI_SE_2627_001,Costos Directos,3,Agroquímicos,US$/ha,,,91,
TRI_SE_2627_001,Costos Directos,4,Fertilizantes,US$/ha,,,246,
TRI_SE_2627_001,Costos Directos,5,Cosecha (contratista),US$/ha,,,97,
TRI_SE_2627_001,Costos Directos,6,Gastos de comercialización,US$/ha,,,186,
TRI_SE_2627_002,Ingresos,1,Cosecha,US$/ha,208,6.5,1352,
TRI_SE_2627_002,Costos Directos,1,Labranzas,US$/ha,,,106,
TRI_SE_2627_002,Costos Directos,2,Semilla,US$/ha,,,59,
TRI_SE_2627_002,Costos Directos,3,Agroquímicos,US$/ha,,,91,
TRI_SE_2627_002,Costos Directos,4,Fertilizantes,US$/ha,,,246,
TRI_SE_2627_002,Costos Directos,5,Cosecha (contratista),US$/ha,,,122,
TRI_SE_2627_002,Costos Directos,6,Gastos de comercialización,US$/ha,,,269,
MAI_NO_2627_001,Ingresos,1,Cosecha,US$/ha,185,11.0,2035,
MAI_NO_2627_001,Costos Directos,1,Labranzas,US$/ha,,,101,
MAI_NO_2627_001,Costos Directos,2,Semilla,US$/ha,,,204,
MAI_NO_2627_001,Costos Directos,3,Agroquímicos + Fertilizantes,US$/ha,,,400,
MAI_NO_2627_001,Costos Directos,4,Cosecha (contratista),US$/ha,,,110,
MAI_NO_2627_001,Costos Directos,5,Gastos de comercialización,US$/ha,,,628,
MAI_NO_2627_002,Ingresos,1,Cosecha,US$/ha,185,13.0,2405,
MAI_NO_2627_002,Costos Directos,1,Labranzas,US$/ha,,,101,
MAI_NO_2627_002,Costos Directos,2,Semilla,US$/ha,,,204,
MAI_NO_2627_002,Costos Directos,3,Agroquímicos + Fertilizantes,US$/ha,,,400,
MAI_NO_2627_002,Costos Directos,4,Cosecha (contratista),US$/ha,,,130,
MAI_NO_2627_002,Costos Directos,5,Gastos de comercialización,US$/ha,,,743,
GIR_OE_2627_001,Ingresos,1,Cosecha,US$/ha,390,2.5,975,
GIR_OE_2627_001,Ingresos,2,Bonificación aceite,US$/ha,39,2.5,98,
GIR_OE_2627_001,Costos Directos,1,Labranzas,US$/ha,,,101,
GIR_OE_2627_001,Costos Directos,2,Semilla,US$/ha,,,90,
GIR_OE_2627_001,Costos Directos,3,Agroquímicos + Fertilizantes,US$/ha,,,190,
GIR_OE_2627_001,Costos Directos,4,Cosecha (contratista),US$/ha,,,70,
GIR_OE_2627_001,Costos Directos,5,Gastos de comercialización,US$/ha,,,110,
GIR_OE_2627_002,Ingresos,1,Cosecha,US$/ha,390,3.2,1248,
GIR_OE_2627_002,Ingresos,2,Bonificación aceite,US$/ha,39,3.2,125,
GIR_OE_2627_002,Costos Directos,1,Labranzas,US$/ha,,,101,
GIR_OE_2627_002,Costos Directos,2,Semilla,US$/ha,,,90,
GIR_OE_2627_002,Costos Directos,3,Agroquímicos + Fertilizantes,US$/ha,,,190,
GIR_OE_2627_002,Costos Directos,4,Cosecha (contratista),US$/ha,,,90,
GIR_OE_2627_002,Costos Directos,5,Gastos de comercialización,US$/ha,,,141,
